output,timepoint,param,paper_symbol,prcc,pvalue
C,35,c_base_div,k_c,0.9896292841289056,0.0
C,35,K_C,1/a_c,0.8611710481415455,5.9579872731262315e-285
C,35,c_kill_by_E,d_c,-0.1015937178852469,0.0015863787263004
C,35,n_base_death,b_n,0.0846834236924094,0.0085235380024088
C,70,K_C,1/a_c,0.9306640102811186,0.0
C,70,c_base_div,k_c,0.8392596178940904,8.425154938199471e-257
C,70,c_boost_from_P,mu_c,0.1096233490808113,0.0006508489002207
C,100,K_C,1/a_c,0.9933379673957434,0.0
C,100,c_base_div,k_c,0.7152559150463458,7.249006246665213e-152
C,100,c_boost_from_P,mu_c,0.1724465041318022,7.138758487755828e-08
C,100,p_boost_from_C,f_p,0.1334480569888434,3.2306092384063675e-05
E,35,c_base_div,k_c,-0.9122269215840478,0.0
E,35,e_inact_by_C,c_e,-0.9108988004129676,0.0
E,35,e_base_death,b_e,-0.8686042905090763,1.284287354325989e-295
E,35,K_C,1/a_c,-0.3902551336673129,2.0004975651331752e-36
E,35,e_suppr_by_R,delta_e,-0.100228528266403,0.0018348303619013
E,35,e_base_birth,a_e,0.094929320265008,0.0031752789478089
E,70,e_inact_by_C,c_e,-0.8201080827951868,1.8344086782019406e-235
E,70,c_base_div,k_c,-0.7799422852963107,5.287364420670626e-198
E,70,K_C,1/a_c,-0.6820028005332596,7.314618790889205e-133
E,70,e_base_birth,a_e,0.5303140456248736,5.051923356061603e-71
E,70,e_base_death,b_e,-0.4980142931467711,1.4701375275364625e-61
E,100,e_base_birth,a_e,0.7423705693507318,1.6469066125378974e-169
E,100,e_inact_by_C,c_e,-0.6930683417191195,6.736862062474005e-139
E,100,K_C,1/a_c,-0.6808741901146188,2.91592757789133e-132
E,100,e_base_death,b_e,-0.2712355034794443,1.019888831601345e-17
E,100,c_base_div,k_c,-0.2441056110513314,1.5203982021321248e-14
H,35,h_suppr_by_R,delta_h,-0.9926710376634876,0.0
H,35,r_base_src,a,-0.964769581509596,0.0
H,35,r_induced_by_H,b_r,-0.2435556037205181,1.7477383865695468e-14
H,35,h_base_birth,a_h,0.1643138208489078,2.8980464520202575e-07
H,35,h_base_death,b_h,-0.1365270849919627,2.105756022034896e-05
H,35,e_help_from_H,p_e,-0.1044098271498034,0.0011686485876164
H,35,h_self_act_K,g_h,-0.0863871373728185,0.007280884661954
H,70,h_suppr_by_R,delta_h,-0.987455343858338,0.0
H,70,r_base_src,a,-0.9694589633975044,0.0
H,70,r_induced_by_H,b_r,-0.236243185207999,1.0788223856438323e-13
H,70,h_base_birth,a_h,0.1319458762287809,3.9674799364259166e-05
H,70,h_base_death,b_h,-0.1006354761822577,0.0017572701024012
H,70,e_help_from_H,p_e,-0.0944453085288104,0.0033340875147762
H,100,h_suppr_by_R,delta_h,-0.9823023789030392,0.0
H,100,r_base_src,a,-0.9660072516847183,0.0
H,100,h_base_birth,a_h,0.3085243082681304,1.0507733171690944e-22
H,100,r_induced_by_H,b_r,-0.1851813015841337,6.943655681126795e-09
H,100,e_help_from_H,p_e,-0.0872729109442834,0.006701210011386
N,35,n_base_death,b_n,-0.996878794551196,0.0
N,35,n_suppr_by_R,delta_n,-0.472695538089989,8.090976746599542e-55
N,35,c_base_div,k_c,-0.4240879002414268,2.308265810334235e-43
N,35,n_inact_by_C,c_n,-0.3773430250675602,5.5435525198169115e-34
N,35,n_base_birth,a_n,0.3372820689043214,4.47912352581194e-27
N,35,r_base_src,a,-0.2489210041906926,4.422913456138467e-15
N,35,n_help_from_H,p_n,0.1028909102499558,0.0013793313159031
N,35,K_C,1/a_c,-0.0980248467952898,0.0023121349996757
N,70,n_base_death,b_n,-0.9900259428881788,0.0
N,70,n_base_birth,a_n,0.5571398613699751,1.0643812562312994e-79
N,70,n_inact_by_C,c_n,-0.4745443025276664,2.720865876783914e-55
N,70,n_suppr_by_R,delta_n,-0.4404162717698293,5.252465074422661e-47
N,70,c_base_div,k_c,-0.404872812316338,2.519782450376084e-39
N,70,r_base_src,a,-0.3406402914762999,1.2872246313095788e-27
N,70,K_C,1/a_c,-0.3314207566656668,3.8062101717445125e-26
N,70,r_induced_by_E,a_r,-0.0950385855824529,0.0031403942290202
N,70,n_help_from_H,p_n,0.0941068691854728,0.0034493869978086
N,100,n_base_death,b_n,-0.9688933709329428,0.0
N,100,n_base_birth,a_n,0.694669338731779,8.558989566110415e-140
N,100,n_inact_by_C,c_n,-0.4124363498232125,6.96887299512429e-41
N,100,n_suppr_by_R,delta_n,-0.3475240942304333,9.519724171807371e-29
N,100,K_C,1/a_c,-0.3030949459904068,6.227438368171154e-22
N,100,r_base_src,a,-0.2661087046076111,4.333824111745929e-17
N,100,c_base_div,k_c,-0.1637351756510717,3.19364454726192e-07
N,100,r_induced_by_E,a_r,-0.1053044068770702,0.0010588895906943
N,100,c_R_blocks_E,r_1,-0.0863301117636723,0.0073196990960726
P,35,p_boost_from_C,f_p,0.9764441380408596,0.0
P,35,p_boost_from_C_K,mu_p,-0.8217357204799768,3.5538401936799095e-237
P,35,c_base_div,k_c,0.7307410780941656,1.1156912359133283e-161
P,35,p_base_div,k_p,0.3829808176855417,4.905795785721004e-35
P,35,K_C,1/a_c,0.1613401910469251,4.756728880463462e-07
P,70,p_boost_from_C,f_p,0.942553827648212,0.0
P,70,K_P,1/a_p,0.5922667732971469,2.4969737148887365e-92
P,70,p_boost_from_C_K,mu_p,-0.45573454797914,1.3102009929064622e-50
P,70,c_base_div,k_c,0.3956603220641679,1.761112812368578e-37
P,70,p_base_div,k_p,0.2465879171688211,8.071611874154262e-15
P,70,K_C,1/a_c,0.1471499009276761,4.478775219446409e-06
P,70,c_boost_from_P,mu_c,0.0993892295485126,0.0020048004075425
P,100,K_P,1/a_p,0.823337386782181,7.048060886007176e-239
P,100,p_boost_from_C,f_p,0.7360684889034652,3.250024899145812e-165
P,100,p_boost_from_C_K,mu_p,-0.2364057384012758,1.0367224520352997e-13
P,100,p_base_div,k_p,0.1666736316518038,1.943374999524397e-07
P,100,c_base_div,k_c,0.1176186282371151,0.0002523763599565
R,35,r_base_src,a,0.9994262214662613,0.0
R,35,r_induced_by_H,b_r,0.8933312823370461,0.0
R,35,h_suppr_by_R,delta_h,-0.3219847197038115,1.0831758989756628e-24
R,35,r_induced_by_E,a_r,0.2676390108425804,2.823185226720842e-17
R,35,r_prolif_by_H_K,g_r,-0.0984392349420045,0.002214518299427
R,35,r_prolif_by_H,p_r,0.0839749381317605,0.0090937634870482
R,70,r_base_src,a,0.9995849449171348,0.0
R,70,r_induced_by_H,b_r,0.8625676791689254,6.59090711448287e-287
R,70,h_suppr_by_R,delta_h,-0.6055554128897099,1.5934790061839452e-97
R,70,r_induced_by_E,a_r,0.1471954495491307,4.448081957695287e-06
R,70,r_prolif_by_H_K,g_r,-0.1097361253922975,0.0006424791312643
R,70,r_prolif_by_H,p_r,0.0935183234132363,0.0036585536444399
R,100,r_base_src,a,0.9996886912020392,0.0
R,100,r_induced_by_H,b_r,0.8274387946070019,2.560739797816622e-243
R,100,h_suppr_by_R,delta_h,-0.6693811678072144,2.6901895671040568e-126
R,100,r_induced_by_E,a_r,0.1117263142090953,0.0005102767782958
R,100,r_prolif_by_H_K,g_r,-0.1053255582358174,0.0010564136545969
R,100,r_prolif_by_H,p_r,0.0899989696415545,0.005168013362398
